AromaticRings,MinPartialCharge,BalabanJ,NumRings,nHBDon,nHBAcc,nRot,IDNUMBER,Canonical_SMILES,Cluster
2,-0.3103706747269116,1.9003053641355,2,0.0,2.0,25.0,AG_205_33006029,CCCCCCCCCCCC(=O)N(CCN(C(=O)CCCCCCCCCCC)c1ccccc1C)c1ccccc1C,3
0,-0.0653823832227926,2.8766966445353965,0,0.0,0.0,16.0,AN_329_40543671,CCCCCCCCCCCCCCCCCCC,3
1,-0.4680321193351419,2.367740850135841,1,1.0,4.0,5.0,Y205_8518,CCc1ccc(S(=O)(=O)NCC(=O)OC)cc1,4
1,-0.4672879727715284,2.405221421165945,1,1.0,4.0,5.0,Z364087096,COCc1ccc(C(=O)NC(C)(C)C(=O)OC)cc1,4
1,-0.4623904012326582,2.323570538195459,1,1.0,4.0,5.0,AN_652_41313324,CCOC(=O)c1cccc(NC(=O)COC)c1,4
1,-0.4654175156231458,2.3166964390121207,1,1.0,4.0,5.0,Z1623868306,CC#CCCNS(=O)(=O)c1ccc(C(=O)OC)cc1,4
1,-0.4809823314033693,2.4158295092356763,1,1.0,4.0,5.0,Z1400391952,COc1ccc(NC(=O)[C@H](C(C)C)N(C)C)cn1,4
1,-0.4929579389395542,2.390798981200452,1,1.0,4.0,5.0,AG_690_15435030,C=CCc1c(C)nc(SCC(C)C)nc1O,4
1,-0.492869978612293,2.405821315624428,1,1.0,4.0,5.0,AN_967_15488286,CNC(C#N)Cc1ccc(OC)c(OC)c1,4
1,-0.4967671315805583,2.3797424213602705,1,1.0,4.0,5.0,R299_0004,COc1ccc(S(=O)(=O)CCC(=O)O)cc1,4
1,-0.4943588677018815,2.450371816873228,1,1.0,4.0,5.0,AS_871_43358538,CCCCCCn1c(O)cc(C)c(C#N)c1=O,4
1,-0.481917776509582,2.385515025684106,1,1.0,4.0,6.0,Z3008658351,CC#CCN(C)S(=O)(=O)c1ccc(OCC(=O)O)cc1,4
1,-0.4623904012326582,2.292611943112135,1,1.0,4.0,6.0,Y030_8480,CCOCC(=O)Nc1cccc(C(=O)OCC)c1,4
1,-0.4872982159590031,2.374747468548504,1,1.0,4.0,4.0,Y503_2480,Nc1cc(OCC(F)F)cc([N+](=O)[O-])c1,4
1,-0.4621072428405998,2.2834519098824555,1,1.0,4.0,6.0,3002_0876,CCCOC(=O)Nc1cccc(C(=O)OCCC)c1,4
1,-0.4928695078261764,2.3987563120719595,1,1.0,4.0,4.0,AK_968_11781432,COc1ccc(C(=O)NCC#N)cc1OC,4
1,-0.4945757504549489,2.344439802924433,1,1.0,4.0,4.0,AG_389_32207042,COc1ccc(Cl)cc1NC(=O)O/N=C(\Cl)C(C)C,4
